dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
goodreads,HMT-HM[7b],cold_start_user,hr@5,239,0.6317991631799164,0.7405857740585774,-0.1087866108786611,-0.1799163179916318,-0.04184100418410042,0.0032,hurts*,0.006857142857142858,hurts*
goodreads,HMT-HM[7b],cold_start_item,ndcg@5,225,0.40226191144671664,0.48086673027910265,-0.07860481883238596,-0.12897557801379722,-0.028353281951933457,0.0024,hurts*,0.007,hurts*
goodreads,HMT-HM[7b],cold_start_item,hr@5,225,0.6311111111111111,0.7466666666666667,-0.11555555555555555,-0.18222222222222223,-0.04888888888888889,0.0004,hurts*,0.0012000000000000001,hurts*
goodreads,HMT-HM[7b],evolving_interest,ndcg@5,91,0.433825714681346,0.4638956027698642,-0.030069888088518244,-0.1053278792823851,0.04466350924080409,0.4288,ns,0.47644444444444445,ns
goodreads,HMT-HM[7b],evolving_interest,hr@5,91,0.6483516483516484,0.7362637362637363,-0.08791208791208792,-0.1978021978021978,0.01098901098901099,0.1096,ns,0.14295652173913045,ns
goodreads,HMT-HM[7b],POOLED,ndcg@5,955,0.4114149003874426,0.48615337149014975,-0.07473847110270716,-0.0982372621440403,-0.0509278863043376,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[7b],POOLED,hr@5,955,0.6240837696335079,0.7361256544502618,-0.11204188481675392,-0.14554973821989528,-0.07853403141361257,0.0,hurts*,0.0,hurts*
yelp,HMT-HM[1.5b],classic,ndcg@5,369,0.23773258741043093,0.2637295636999477,-0.02599697628951684,-0.05978407132302521,0.007471293045251323,0.1192,ns,0.19866666666666666,ns
yelp,HMT-HM[1.5b],classic,hr@5,369,0.3685636856368564,0.44715447154471544,-0.07859078590785908,-0.13008130081300814,-0.02710027100271003,0.0036,hurts*,0.018,hurts*
yelp,HMT-HM[1.5b],cold_start_user,ndcg@5,272,0.24060832367073542,0.2855909540673858,-0.044982630396650396,-0.08569055266143714,-0.003934566896133593,0.0316,hurts*,0.1236,ns
yelp,HMT-HM[1.5b],cold_start_user,hr@5,272,0.36764705882352944,0.48161764705882354,-0.11397058823529412,-0.1801470588235294,-0.04779411764705882,0.0012,hurts*,0.009,hurts*
yelp,HMT-HM[1.5b],cold_start_item,ndcg@5,125,0.21571568262196347,0.25816547527627415,-0.04244979265431067,-0.09637678985121993,0.010702758517343352,0.1168,ns,0.19866666666666666,ns
yelp,HMT-HM[1.5b],cold_start_item,hr@5,125,0.336,0.432,-0.096,-0.176,-0.008,0.0308,hurts*,0.09240000000000001,ns
yelp,HMT-HM[1.5b],evolving_interest,ndcg@5,93,0.2383360755074043,0.21514283955466978,0.023193235952734512,-0.02954493139967137,0.07824441187525251,0.4024,ns,0.503,ns
yelp,HMT-HM[1.5b],evolving_interest,hr@5,93,0.3763440860215054,0.3763440860215054,0.0,-0.08602150537634409,0.08602150537634409,1.0,ns,1.0,ns
